1000
105	72	106	294	169
72	412	408	296	230
183	338	391	445	53
74	101	485	494	72
190	248	339	212	143
284	169	442	343	217
248	175	355	227	281
74	429	183	152	181
57	124	330	379	264
334	245	179	337	108
225	177	293	488	409
4	391	92	82	293
304	468	462	500	358
404	64	280	47	254
27	7	496	136	286
227	261	97	67	300
192	152	447	480	12
376	330	463	93	357
287	194	131	323	494
192	333	483	245	22
269	489	380	368	11
106	325	274	374	41
348	405	307	197	373
222	241	204	125	412
407	469	392	87	80
89	130	104	67	203
70	112	326	126	366
389	40	278	457	340
235	333	239	417	191
86	462	266	443	48
17	384	74	119	377
70	407	27	185	108
181	18	8	40	300
297	77	58	351	109
336	140	352	145	54
165	34	404	325	311
27	25	242	15	180
324	318	86	146	140
331	366	217	480	491
127	465	30	486	128
411	364	378	341	15
485	141	231	406	288
405	374	196	379	352
115	475	194	391	39
412	288	212	483	243
319	49	212	347	52
435	226	274	373	281
381	54	158	284	15
250	379	185	228	434
155	445	194	135	354
187	3	19	32	360
327	455	442	96	301
189	423	393	179	482
194	388	7	181	33
48	137	24	98	255
52	293	254	381	86
113	146	152	484	183
118	275	198	331	209
253	333	166	126	155
195	493	333	254	2
149	90	350	326	371
304	260	229	414	440
199	489	230	486	422
168	255	343	179	424
264	222	237	145	371
108	326	140	368	221
436	142	214	64	137
139	282	115	181	464
147	323	493	32	266
28	390	424	373	47
27	1	103	45	327
84	316	205	469	438
40	288	60	255	128
383	421	38	267	86
453	459	170	331	120
150	285	238	350	189
478	212	61	400	106
159	136	445	40	173
424	389	249	7	404
2	442	297	16	52
50	1	191	125	39
297	230	452	314	314
226	1	322	417	259
293	112	174	174	206
80	483	219	51	71
492	11	16	372	288
110	304	243	381	352
477	44	459	443	397
230	61	301	435	493
254	50	97	462	207
446	422	128	144	467
375	292	390	359	182
126	458	400	443	493
344	245	286	30	453
34	203	238	68	261
110	48	211	374	221
106	4	29	60	89
233	471	260	59	4
178	220	41	69	277
366	343	332	416	412
100	215	147	42	67
417	257	286	332	359
163	159	332	428	215
383	464	145	166	53
366	379	152	469	316
463	456	96	167	158
419	69	110	54	372
246	169	127	285	407
147	222	217	95	334
4	49	65	385	493
41	166	134	229	63
106	377	331	57	225
300	336	12	134	496
168	413	240	321	161
277	107	360	257	176
150	480	379	91	365
192	346	147	447	278
170	252	111	63	497
453	76	152	377	308
315	187	90	71	175
210	209	459	218	6
324	218	380	138	303
316	421	52	351	454
109	400	22	116	385
16	281	472	270	154
298	242	366	438	381
85	89	146	23	145
261	127	85	274	205
67	371	202	188	160
265	289	270	244	403
487	438	179	482	352
56	435	35	132	275
34	368	119	453	60
379	348	360	294	210
283	393	168	91	71
479	194	129	173	157
54	227	104	438	105
430	448	366	117	410
134	136	65	479	111
133	478	328	416	3
138	271	271	404	133
307	255	169	259	275
455	220	61	56	102
186	357	338	306	317
237	343	471	27	158
38	439	442	386	221
175	274	115	430	27
88	402	161	386	121
241	37	310	99	79
109	376	455	238	55
152	372	154	468	174
112	89	2	390	112
420	28	463	200	356
271	294	272	6	151
408	372	424	259	175
148	186	267	240	467
450	326	231	283	418
226	355	296	8	179
469	176	8	147	193
20	213	232	461	153
277	109	25	115	297
168	457	97	222	32
70	215	125	106	464
479	85	65	97	465
369	424	303	155	325
267	140	465	336	97
28	419	468	391	348
488	450	498	356	120
101	173	127	455	79
281	122	37	307	493
402	241	153	158	446
354	200	72	384	214
487	362	123	316	417
226	133	270	410	420
319	211	96	227	459
377	164	358	13	364
333	421	215	371	56
322	262	381	159	280
457	435	114	405	287
443	185	340	198	490
272	475	293	78	498
161	189	427	164	56
71	372	260	247	229
219	43	443	401	15
396	135	198	486	41
414	30	403	396	25
300	30	415	214	129
123	17	319	239	455
36	364	495	314	142
491	42	387	73	157
323	181	165	274	270
58	268	228	72	337
461	380	319	281	290
319	122	241	57	422
309	369	435	32	236
487	213	297	423	384
313	215	182	60	160
322	313	136	53	241
57	91	21	488	382
329	85	84	7	137
